(Contains Methods) BST and Tree Set timer	running contains on a random item	Time in NanoSeconds it takes to run the Add method
Contains method Using the Binary Search Tree	7364	0
Contains method Using the Binary Search Tree	7414	300
Contains method Using the Binary Search Tree	7417	0
Contains method Using the Binary Search Tree	7646	301
Contains method Using the Binary Search Tree	7879	0
Contains method Using the Binary Search Tree	7930	0
Contains method Using the Binary Search Tree	7973	0
Contains method Using the Binary Search Tree	8242	0
Contains method Using the Binary Search Tree	8327	0
Contains method Using the Binary Search Tree	8355	0
Contains method Using the Binary Search Tree	8415	300
Contains method Using the Binary Search Tree	8554	301
Contains method Using the Binary Search Tree	8602	0
Contains method Using the Binary Search Tree	8737	0
Contains method Using the Binary Search Tree	8829	301
Contains method Using the Binary Search Tree	8877	0
Contains method Using the Binary Search Tree	8879	0
Contains method Using the Binary Search Tree	8941	300
Contains method Using the Binary Search Tree	8960	300
Contains method Using the Binary Search Tree	9036	300
Contains method Using the Binary Search Tree	9076	301
Contains method Using the Binary Search Tree	9271	0
Contains method Using the Binary Search Tree	9476	0
Contains method Using the Binary Search Tree	9478	301
Contains method Using the Binary Search Tree	9515	300
Contains method Using the Binary Search Tree	9810	0
Contains method Using the Binary Search Tree	9855	301
Contains method Using the Binary Search Tree	9894	301
Contains method Using Java's Tree Set	136	901
Contains method Using Java's Tree Set	205	901
Contains method Using Java's Tree Set	313	601
Contains method Using Java's Tree Set	472	902
Contains method Using Java's Tree Set	573	1202
Contains method Using Java's Tree Set	692	601
Contains method Using Java's Tree Set	833	601
Contains method Using Java's Tree Set	930	301
Contains method Using Java's Tree Set	938	300
Contains method Using Java's Tree Set	1070	301
Contains method Using Java's Tree Set	1187	301
Contains method Using Java's Tree Set	1390	301
Contains method Using Java's Tree Set	1771	601
Contains method Using Java's Tree Set	1840	300
Contains method Using Java's Tree Set	2007	301
Contains method Using Java's Tree Set	2024	301
Contains method Using Java's Tree Set	2036	601
Contains method Using Java's Tree Set	2095	301
Contains method Using Java's Tree Set	2170	301
Contains method Using Java's Tree Set	2230	602
Contains method Using Java's Tree Set	2248	0
Contains method Using Java's Tree Set	2285	300
Contains method Using Java's Tree Set	2345	301
Contains method Using Java's Tree Set	2401	300
Contains method Using Java's Tree Set	2438	601
Contains method Using Java's Tree Set	2492	601
Contains method Using Java's Tree Set	2500	601
